intro,name,points,rank
当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店,8.9,137
传奇，不是每个人都可以拥有。,燃情岁月,8.7,138
永远看不腻的喜剧。,虎口脱险,8.9,139
英雄泪短，兄弟情长。 ,英雄本色,8.6,140
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,小森林 冬春篇,8.9,141
《我是山姆》的《美丽人生》。,7号房的礼物,8.7,142
10年的完美句点。,哈利·波特与死亡圣器(下),8.7,143
爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见,8.5,144
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,心迷宫,8.6,145
始于荒诞，止于更荒诞。,荒蛮故事,8.8,146
触不到的恋人。,萤火之森,8.7,147
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本,8.5,148
坏人的好总是比好人的好来得更感人。,完美的世界,9.0,149
任何信念的力量，都无法改变命运。,教父3,8.8,150
我们都有权利不与自己的过去和解。,海边的曼彻斯特,8.6,151
香港浪漫主义警匪动作片的巅峰之作。,纵横四海,8.7,152
偷情本没有这样美。,花样年华,8.5,153
跨度十五年的欢乐与泪水。,玩具总动员3,8.8,154
不可猜的青春迷笛。 ,猜火车,8.5,155
中国式内在的美国电影。,魂断蓝桥,8.8,156
爱上未来的你。 ,穿越时空的少女,8.6,157
沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我,8.8,158
